Age,CO2
3.270168457,388.4520775
3.2787,444.6738837
3.280600586,333.4454541
3.28667,345.6486796
3.29024,405.6512052
3.29311,340.1017587
3.29643,445.3700277
3.29945,427.5286212
3.30261,528.3060629
3.30412,474.7299195
3.31076,459.0097887
3.3146,476.7461458
3.31752,364.6612137
3.3203,418.9650425
3.32322,335.4412367
3.32614,481.738639
3.3292,370.472013
3.33213,354.2018019
4.424214,270.6418405
4.860212,414.2249465
5.332931,433.8630675
5.801607,423.0522214
5.806297,288.6775738
6.535297,374.0344766
7.001857,417.1927011
8.446452,418.4764893
8.560965,529.550603
9.244319,481.3662176
9.874032,330.5552105
10.60393,406.4730583
11.53932,431.1227975
11.8,560.3068732
12.09858,423.599814
12.28132361,420.1595265
12.51984,357.9712174
12.71899273,498.9539603
13.25318645,551.0436596
13.47688058,548.4092235
13.6,521.1415502
13.698231,568.5787825
13.71589544,539.8972302
13.735675,579.2467511
13.740526,515.4596959
13.766295,690.8555472
13.785623,649.5266078
13.798508,718.9121021
13.83281529,582.8608477
14.17085595,609.0057307
14.31072283,621.7394698
14.79601776,886.6226753
14.94,808.9803488
15.03723343,772.7947294
15.54134461,657.7679599
15.55988062,683.9048558
15.59955383,986.628289
15.61277048,1049.686551
15.62598631,728.2132322
15.65242295,643.6554365
15.69211909,627.0178374
15.7186335,1104.34177
15.75852102,636.3620456
15.77185607,688.727627
15.80664084,1168.311469
15.83892175,970.2305795
15.86597145,932.2897172
15.89317604,616.4048245
15.953664,628.046434
15.96198872,701.1564567
15.97590791,1359.25818
15.98988508,711.3819712
16.01376,734.017843
16.02407,508.2587908
16.0607295,642.8363768
16.07136,587.6142545
16.11871172,901.3608006
16.14819734,685.6562769
16.17804204,596.2815711
16.20826837,515.753657
16.23889926,1069.370217
16.26995802,613.9213521
16.30146837,1067.382842
16.33345439,580.5842486
16.36594057,1154.207404
16.37726,463.5804841
16.38237896,510.6793272
16.39895175,982.8711001
16.4156621,491.7043259
16.46665055,1208.0463
16.59104566,607.4976758
16.6469001,543.0520107
16.68505286,525.7423066
16.71684,888.6382977
16.76368561,770.227914
16.86105,524.194334
16.89715,559.1835367
16.97521086,463.5231227
17.08152,484.7236109
17.11358772,579.5814683
17.71921,795.887466
18.247,456.1720261
18.50832,547.4143564
19.13521,649.25611
19.43453,449.3986833
20.03183,622.6983749
20.08704,405.3845792
20.56075,734.2511616
21.16732075,613.2976011
21.39607544,542.5593597
21.77531,558.1008013
21.83969502,572.8183674
22.022,506.8407887
22.161,798.9860014
22.442,773.5412172
22.51,612.726568
22.521,752.6581032
22.58,746.7535706
22.589,564.9811068
22.661,629.7789954
22.673,709.2390233
22.696,570.4858116
22.728,427.6532458
22.736,527.4794155
22.81,427.6741227
22.815,438.8702289
22.82,480.6488187
22.872,719.0323851
22.895,601.3459981
22.939,489.4385445
22.968,452.6796514
23.008,481.6516537
23.023,511.5399186
23.075,581.8443699
23.087,573.0267249
23.094,535.1770949
23.157,495.395255
23.249,578.5878482
23.264,567.347644
23.306,483.5430624
23.338,497.8357769
23.575,492.6825577
23.579,481.0165671
23.662,479.2233633
23.733,582.1203759
23.797,503.3098859
23.821,506.0952697
23.857,684.8012617
23.928,471.732793
23.978,419.6957453
24.018,514.9511071
32.98,668.1838784
33.17,786.06101
33.33,911.0800909
33.38,905.0423904
33.59,764.1976079
33.96,936.2469354
34.21,973.6937056
34.42,968.6815393
34.63,864.5120613
35.60754615,1024.166737
36.39642076,954.1646958
36.9,900.8045193
36.96328352,993.9791264
36.96328352,953.4641214
37.63608087,958.4012087
38.10940564,1065.262904
38.78107602,1062.451679
38.78107602,1056.834574
38.78107602,1109.387269
38.78107602,1072.833055
39.124,868.7545373
39.327,901.6729156
39.44598463,976.663314
39.44598463,1082.907457
39.8079,1052.242605
39.911,905.7962192
39.958,976.8082866
39.9827,867.2632718
40,957.3471164
40.031,1067.816031
40.0615,1056.589799
40.092,1275.364969
40.1109,1156.740631
40.14,1330.851752
40.14,1259.382369
